time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,train/approx_kl,train/learning_rate,train/loss,train/clip_range,train/policy_gradient_loss,train/std,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/clip_fraction
623,336.94602972,16,980.04,52,233472,0.18497151,0.0003,0.056485675275325775,0.2,-0.0006076885721995496,0.7843759655952454,0.9326943755149841,1130,-3.3835917949676513,1.013364427234046,0.576171875
666,332.84118006999995,17,980.04,52,235520,0.08478095,0.0003,0.07008153200149536,0.2,0.013621478142158593,0.7902786731719971,0.9586840867996216,1140,-3.40414474606514,2.2984836226794867,0.4919921875
708,325.39424666,18,980.04,52,237568,0.15914822,0.0003,0.18218302726745605,0.2,0.017855917796987343,0.7892758250236511,0.9635698199272156,1150,-3.4152347043156626,1.1665666435379536,0.562841796875
750,316.12730444000005,19,980.04,51,239616,0.2984411,0.0003,0.38581666350364685,0.2,0.017899458974716252,0.7909786701202393,0.9535790085792542,1160,-3.411910893768072,3.221020714379847,0.534130859375
791,306.36414156,20,980.04,51,241664,0.19331253,0.0003,0.15836401283740997,0.2,-0.0006309498021437321,0.7959915995597839,0.9463000893592834,1170,-3.442350783199072,1.2708209596574307,0.5453125
834,303.15777733000004,21,980.04,51,243712,0.089057535,0.0003,0.23463758826255798,0.2,0.0075673299303161915,0.7992172241210938,0.9471878409385681,1180,-3.4501481898128987,1.9662727515678853,0.449755859375
877,296.54032093000006,22,980.04,51,245760,0.15691309,0.0003,0.06217844784259796,0.2,-0.005224285573785892,0.7990030646324158,0.959101140499115,1190,-3.4705717004835606,0.534938026953023,0.451708984375
919,288.47256611000006,23,980.04,51,247808,0.12407095,0.0003,0.21342679858207703,0.2,0.014723454721388408,0.802639901638031,0.9637080430984497,1200,-3.4657583527266977,1.780171864409931,0.550830078125
961,286.21174509,24,980.04,51,249856,0.17602625,0.0003,0.2620558738708496,0.2,0.02628096865446423,0.8068636059761047,0.9528561234474182,1210,-3.4814086616039277,4.1499903935939075,0.514892578125
1004,280.5182466,25,980.04,50,251904,0.21717611,0.0003,0.3594917356967926,0.2,0.011334612013888546,0.807161808013916,0.9658707976341248,1220,-3.4955586954951285,2.8666353381238876,0.555029296875
1047,273.96121972000003,26,980.04,50,253952,0.17643493,0.0003,0.131209596991539,0.2,0.020167636255791876,0.8104913830757141,0.9683066010475159,1230,-3.5017880357801916,2.784775347588584,0.489404296875
1089,262.36871678999995,27,980.04,50,256000,0.28471148,0.0003,0.1715903878211975,0.2,0.005112373569136253,0.8065558075904846,0.9068789482116699,1240,-3.507893822342157,1.5598592684604227,0.604736328125
1132,253.01420645,28,980.04,50,258048,0.095448256,0.0003,0.2520108222961426,0.2,0.02575743315683212,0.8121741414070129,0.968571126461029,1250,-3.504214853793383,1.4284365646075456,0.457275390625
1178,245.93453069999998,29,980.04,50,260096,0.23139876,0.0003,0.25533515214920044,0.2,0.016303137796057854,0.8128309845924377,0.963729739189148,1260,-3.523037464916706,2.6467750541865827,0.577294921875
1229,235.30467591999997,30,980.04,49,262144,0.15186301,0.0003,0.48294204473495483,0.2,0.0077845868239819534,0.8145504593849182,0.97072434425354,1270,-3.5240006342530252,4.413617423921823,0.5373046875
1274,232.76159986999994,31,980.04,49,264192,0.18302959,0.0003,0.33687373995780945,0.2,-0.005132072330161464,0.8219466805458069,0.9822453260421753,1280,-3.5395525939762593,1.8914467940106987,0.504150390625
1318,224.71107550999997,32,980.04,49,266240,0.3135355,0.0003,0.14094850420951843,0.2,0.009972679147904274,0.8273084163665771,0.9704667925834656,1290,-3.5743388973176478,1.5734359614085407,0.606689453125
1358,221.52179388999997,33,980.04,49,268288,0.08862961,0.0003,0.7737187743186951,0.2,0.0023830461665056645,0.82554692029953,0.9702199697494507,1300,-3.569413081556559,5.416310553997755,0.4896484375
1404,223.73717718999995,34,980.04,49,270336,0.13880458,0.0003,0.48362359404563904,0.2,0.02344114775478374,0.8279123306274414,0.9324469566345215,1310,-3.5752092353999614,4.967409579176456,0.529248046875
1448,216.63159854999998,35,980.04,49,272384,0.16082175,0.0003,0.1221112608909607,0.2,0.013830725401930977,0.8291439414024353,0.9692005515098572,1320,-3.580933539569378,3.2452891427092254,0.543408203125
1492,211.67875805,36,980.04,49,274432,0.31435198,0.0003,0.2124127596616745,0.2,0.014636366424383596,0.8396894335746765,0.9737996459007263,1330,-3.6074995048344136,2.135615833895281,0.541015625
1536,205.79726526,37,980.04,49,276480,0.57463175,0.0003,0.4463571012020111,0.2,0.0005674188738339581,0.8325994610786438,0.9630865454673767,1340,-3.625314210355282,3.0377574977930637,0.603271484375
1580,203.76266090000001,38,980.04,49,278528,0.1789523,0.0003,0.39058971405029297,0.2,0.02533032735082088,0.8282836079597473,0.9547691345214844,1350,-3.5972045078873633,3.8958238483406604,0.572314453125
1622,199.70169937999998,39,980.04,49,280576,0.23639305,0.0003,0.19498327374458313,0.2,0.020758708828361706,0.8193070292472839,0.9533255696296692,1360,-3.5807175494730474,2.791878762235865,0.59921875
1667,192.77024742999998,40,980.04,49,282624,0.17381425,0.0003,0.2570813298225403,0.2,0.021004492082283832,0.8244618773460388,0.9771518707275391,1370,-3.5787508986890315,1.8919884760165586,0.569775390625
1713,188.16679685,41,980.04,49,284672,0.22645773,0.0003,1.0376944541931152,0.2,0.0490338663716102,0.8276052474975586,0.9247114658355713,1380,-3.5877265445888042,10.24699631393887,0.620361328125
1757,184.74629136,42,980.04,48,286720,0.1122955,0.0003,0.5914286971092224,0.2,0.017701440484961493,0.8298521041870117,0.9712141156196594,1390,-3.6024975687265397,2.928043105197139,0.49189453125
1801,175.9961863,43,980.04,48,288768,0.2332289,0.0003,0.10595545917749405,0.2,0.0072131631299271245,0.841648280620575,0.929438054561615,1400,-3.630747337639332,1.2303741816896945,0.547216796875
1845,168.18341672000003,44,980.04,48,290816,0.18535611,0.0003,0.20347952842712402,0.2,0.012607481991290114,0.8497710227966309,0.9408605098724365,1410,-3.665223716944456,3.4071476181969045,0.58544921875
1889,166.92971770999998,45,980.83,48,292864,0.17922802,0.0003,0.08784733712673187,0.2,0.0015545206784736364,0.8578100800514221,0.9653769731521606,1420,-3.7044487074017525,0.9537548503139988,0.580908203125
1930,157.33794325,46,980.83,48,294912,0.05922143,0.0003,0.16899392008781433,0.2,0.021539113475591877,0.8537694811820984,0.9184781312942505,1430,-3.711175951361656,2.2226349322590977,0.452197265625
1967,154.41922520999998,47,980.83,48,296960,0.112540424,0.0003,0.1790139377117157,0.2,0.010865534078038763,0.8624528050422668,0.96866375207901,1440,-3.714681252837181,1.7123410693835468,0.46044921875
2010,151.71217998999998,48,980.83,48,299008,0.15049158,0.0003,0.1964569091796875,0.2,0.007828480507305358,0.8608412146568298,0.9372060298919678,1450,-3.728049681335688,5.644646640308201,0.531884765625
2052,143.37343488,49,980.83,48,301056,0.13695128,0.0003,0.9532632827758789,0.2,0.030171495757531374,0.8622779250144958,0.8964576721191406,1460,-3.7281138502061366,13.201012516207992,0.58173828125
27,136.36944150000002,1,980.83,74,303104,0.08152641,0.0003,0.11077497154474258,0.2,0.01487346746289404,0.8587493896484375,0.8935715556144714,1470,-3.732926689833403,2.441867160703987,0.4962890625
70,129.03307382,2,980.83,58,305152,0.12690309,0.0003,0.2603932321071625,0.2,0.007532292569885612,0.8586156368255615,0.944606363773346,1480,-3.726452290266752,2.613234797446057,0.5001953125
113,122.65985293,3,980.83,54,307200,0.07562494,0.0003,0.34778308868408203,0.2,0.010130141253466719,0.8633673787117004,0.9575677514076233,1490,-3.739827664196491,2.232307622721419,0.453564453125
157,120.42670473999999,4,984.83,52,309248,0.04930426,0.0003,0.2978750765323639,0.2,0.008492354354530107,0.8639172911643982,0.9552205801010132,1500,-3.752215337753296,2.1659845534246416,0.38515625
201,117.18625589,5,984.83,50,311296,0.18819152,0.0003,0.424449622631073,0.2,0.006803526400472037,0.8681090474128723,0.9652307033538818,1510,-3.7598997972905637,4.864862335380167,0.502099609375
248,122.34309239999999,6,984.83,49,313344,0.082777604,0.0003,0.3154170513153076,0.2,0.002142427337821573,0.8675858378410339,0.972271203994751,1520,-3.7694531589746476,2.709072648268193,0.47373046875
292,124.95453445,7,984.83,49,315392,0.15199621,0.0003,0.7030593156814575,0.2,0.011537997743289452,0.8703250288963318,0.9639312028884888,1530,-3.7723458141088484,5.717021980136633,0.553466796875
336,126.79493488999998,8,984.83,48,317440,0.13323322,0.0003,0.29732346534729004,0.2,0.015486412248719716,0.8695976138114929,0.9848095178604126,1540,-3.7748378708958628,2.918476514238864,0.50439453125
380,127.29869169,9,984.83,48,319488,0.13067071,0.0003,0.06903619319200516,0.2,0.01394078644370893,0.8824822902679443,0.9323114156723022,1550,-3.8025656886398793,1.6554436695296317,0.5177734375
423,132.39145667,10,984.83,48,321536,0.1351257,0.0003,0.22936339676380157,0.2,0.015718850343546364,0.8904793858528137,0.9678713083267212,1560,-3.8299861147999765,2.6782883022911848,0.50126953125
467,133.61216546,11,1000.0,48,323584,0.12198648,0.0003,0.46559587121009827,0.2,0.01750448169623269,0.8910662531852722,0.9414723515510559,1570,-3.842944406718016,5.79573450665921,0.474169921875
512,134.33337212,12,1000.0,47,325632,0.14218095,0.0003,0.17464537918567657,0.2,0.008005985946510918,0.888197124004364,0.9651061296463013,1580,-3.841105242073536,1.704294909350574,0.515087890625
556,137.91026711,13,1000.0,47,327680,0.18670714,0.0003,0.4306892454624176,0.2,-0.0029300976821104996,0.8949174880981445,0.9505558013916016,1590,-3.8477808728814127,2.852392203127965,0.588671875
599,141.20585016,14,1000.0,47,329728,0.09797476,0.0003,0.3400312066078186,0.2,0.004717942175921053,0.8989784121513367,0.9603821039199829,1600,-3.863063062727451,4.639566693641245,0.520703125
643,142.19142531,15,1000.0,47,331776,0.1532622,0.0003,0.29835230112075806,0.2,0.013152862217975781,0.8958579897880554,0.968873143196106,1610,-3.866228745132685,2.0916218961123376,0.541455078125
686,143.32074488,16,1000.0,47,333824,0.1327886,0.0003,0.21183298528194427,0.2,-0.0029003660019952804,0.8956791758537292,0.9864283204078674,1620,-3.8541462667286397,2.1609296754468232,0.46240234375
730,147.80284762000002,17,1000.0,47,335872,0.13502127,0.0003,0.8020576238632202,0.2,0.013953231481718831,0.8970696926116943,0.9222726821899414,1630,-3.8566597267985343,7.104200218711048,0.55673828125
773,150.16215194,18,1000.0,47,337920,0.1265658,0.0003,0.17231746017932892,0.2,0.013070560440246482,0.9041707515716553,0.9445825219154358,1640,-3.8695969484746455,2.661276432685554,0.5189453125
817,147.95659428,19,1000.0,47,339968,0.115939334,0.0003,0.29602929949760437,0.2,0.01681537374679465,0.9085209369659424,0.9782018661499023,1650,-3.8916764318943025,2.9897751535288988,0.5005859375
